t,zeta,ground_truth_dim0,ltc_pred_dim0,ground_truth_dim1,ltc_pred_dim1
18.79397,zeta0p3,-0.03091492,-0.028671486,0.0010560007,-0.0007902716
18.994974,zeta0p3,-0.048597217,-0.025655692,0.0026281301,-4.358415e-06
19.19598,zeta0p3,-0.018622454,-0.021327084,0.0004504234,-0.0002464396
19.396984,zeta0p3,-0.05115953,-0.01820877,0.002661998,0.0007752677
19.59799,zeta0p3,-0.00702016,-0.013367163,-0.000103432205,0.00028478005
19.798994,zeta0p3,-0.051490057,-0.010273934,0.0025910374,0.0014775145
20.0,zeta0p3,0.003530211,-0.005158457,-0.0005904423,0.0007860105
0.10050251,zeta0p5,0.9951188,0.0,-0.002897488,0.0
0.30150753,zeta0p5,-0.09545632,0.033381242,-0.004274028,0.005623275
0.5025126,zeta0p5,0.95909506,0.09238821,-0.003615908,-0.004060671
0.7035176,zeta0p5,-0.25637776,0.10847198,-0.0028963536,0.0019525806
0.9045226,zeta0p5,0.8946448,0.15512183,-0.0040716054,-0.008211888
1.1055276,zeta0p5,-0.37864453,0.1433482,-0.0016638936,0.0027345596
1.3065326,zeta0p5,0.8092952,0.16551344,-0.004295799,-0.0050465562
1.5075377,zeta0p5,-0.4648352,0.13692841,-0.00059515965,0.0053864797
1.7085427,zeta0p5,0.7099653,0.14423934,-0.004322466,-0.002761017
1.9095477,zeta0p5,-0.51837486,0.10465875,0.00030068433,0.006644989
2.1105528,zeta0p5,0.6028242,0.10112602,-0.0041865995,-0.0016179285
2.3115578,zeta0p5,-0.54325587,0.056285992,0.001022432,0.006583298
2.5125628,zeta0p5,0.49320254,0.04615676,-0.0039227535,-0.0014287219
2.7135677,zeta0p5,-0.54378915,0.0010363646,0.0015754573,0.005578468
2.914573,zeta0p5,0.3855509,-0.011814635,-0.0035638558,-0.0018154825
3.115578,zeta0p5,-0.52438885,-0.053348888,0.0019703114,0.0040955134
3.316583,zeta0p5,0.28343746,-0.065828905,-0.0031403077,-0.0023811557
3.517588,zeta0p5,-0.48939234,-0.10111305,0.0022213925,0.0025553345
3.718593,zeta0p5,0.18957871,-0.11108487,-0.002679332,-0.0028058807
3.919598,zeta0p5,-0.4429162,-0.13858269,0.0023457212,0.0012673088
4.120603,zeta0p5,0.10589534,-0.14484827,-0.0022045565,-0.0028883615
4.321608,zeta0p5,-0.38874614,-0.1639942,0.0023618424,0.0004083719
4.522613,zeta0p5,0.033587143,-0.16616043,-0.0017358151,-0.0025496501
4.723618,zeta0p5,-0.3302592,-0.17716789,0.0022888717,3.259885e-05
4.924623,zeta0p5,-0.02677958,-0.17545576,-0.001289109,-0.001813672
5.125628,zeta0p5,-0.27037486,-0.17911324,0.0021456948,9.801856e-05
5.326633,zeta0p5,-0.07517716,-0.17415394,-0.00087671954,-0.00077643996
5.527638,zeta0p5,-0.21153219,-0.17162341,0.0019503179,0.0005001715
5.7286434,zeta0p5,-0.11201965,-0.16426983,-0.00050744077,0.00042709397
5.9296484,zeta0p5,-0.15568781,-0.15690129,0.0017193718,0.0011047237
6.1306534,zeta0p5,-0.13806708,-0.14807196,-0.00018689418,0.0016524459
6.3316584,zeta0p5,-0.10433309,-0.13724768,0.0014677597,0.0017744964
6.5326633,zeta0p5,-0.15433502,-0.12781101,8.2101295e-05,0.0027680541
6.7336683,zeta0p5,-0.058523793,-0.114828385,0.0012084229,0.002388854
6.9346733,zeta0p5,-0.16201085,-0.10552782,0.0002991196,0.0036698622
7.1356783,zeta0p5,-0.018921051,-0.091522805,0.0009522271,0.0028554308
7.3366833,zeta0p5,-0.16237909,-0.08293783,0.00046570937,0.004288691
7.5376883,zeta0p5,0.014160565,-0.06884484,0.0007079475,0.0031152237
7.738693,zeta0p5,-0.15675692,-0.061380006,0.0005849762,0.004591736
7.9396987,zeta0p5,0.040701777,-0.0479201,0.00048232463,0.0031425636
8.140703,zeta0p5,-0.14644027,-0.0418138,0.0006611861,0.004579777
8.341708,zeta0p5,0.060925275,-0.029503021,0.00028019058,0.0029415076
8.542713,zeta0p5,-0.13266033,-0.024848398,0.00069940067,0.004281598
8.743718,zeta0p5,0.07524378,-0.014018059,0.00010464297,0.0025399728
8.944724,zeta0p5,-0.116550356,-0.010790426,0.0007051431,0.0037468013
9.145729,zeta0p5,0.08421024,-0.0016143741,-4.2755946e-05,0.001982783
9.346734,zeta0p5,-0.0991223,0.00029944675,0.0006841171,0.0030381281
9.547739,zeta0p5,0.088472135,0.007775214,-0.00016175497,0.001324512
9.748744,zeta0p5,-0.081251904,0.008548506,0.0006419654,0.0022240968
9.949749,zeta0p5,0.088730656,0.014376309,-0.00025318484,0.0006228485
10.150754,zeta0p5,-0.06367164,0.014216726,0.0005840699,0.0013724269
10.351759,zeta0p5,0.08570535,0.018519608,-0.00031873028,-6.709073e-05
10.552764,zeta0p5,-0.046969987,0.017647423,0.00051541196,0.0005447762
10.753769,zeta0p5,0.08010455,0.020594608,-0.00036071398,-0.00069713173
10.954774,zeta0p5,-0.03159617,0.019225353,0.00044045402,-0.00020708446
11.155779,zeta0p5,0.072601534,0.0210114,-0.0003818942,-0.0012290105
11.356784,zeta0p5,-0.017869176,0.019343033,0.00036307878,-0.0008435898
11.557789,zeta0p5,0.06381633,0.02017097,-0.00038528664,-0.0016359407
11.758794,zeta0p5,-0.00598996,0.018375311,0.00028654796,-0.0013383093
11.959799,zeta0p5,0.05430296,0.018443778,-0.0003740073,-0.0019029359
12.160804,zeta0p5,0.0039446605,0.016661786,0.00021350019,-0.0016776866
12.361809,zeta0p5,0.044541005,0.01615588,-0.000351138,-0.0020261207
12.562814,zeta0p5,0.011926379,0.014496107,0.00014596531,-0.0018598475
12.763819,zeta0p5,0.034931835,0.0135815395,-0.0003196247,-0.0020112733
12.964824,zeta0p5,0.018019626,0.012121124,8.540443e-05,-0.0018927543
13.165829,zeta0p5,0.02579818,0.010941073,-0.00028218995,-0.0018718968
13.366835,zeta0p5,0.022346033,0.009728535,3.275463e-05,-0.0017920176
13.56784,zeta0p5,0.017386591,0.008445252,-0.00024127822,-0.0016451756
13.768845,zeta0p5,0.025069486,0.0075454162,-1.1501834e-05,-0.001605178
13.96985,zeta0p5,0.009872461,0.0062595448,-0.00019901458,-0.0013578673
14.170855,zeta0p5,0.02638253,0.0056772707,-4.7281224e-05,-0.0013477226
14.37186,zeta0p5,0.00336645,0.0044419803,-0.0001571869,-0.0010185298
